"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"29/08/2025","ACCESS","16.40","5.20","16.36","16.36","16.36","16.36","0.00","0.00","16.36","281.00","4,597.16"
"29/08/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.00","0.00"
"29/08/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"29/08/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"29/08/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"29/08/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","6.12","4.00","24.48"
"29/08/2025","BOPP","34.35","25.26","34.35","34.35","34.35","34.35","0.00","34.41","0.00","10.00","344.50"
"29/08/2025","CAL","0.80","0.35","0.51","0.51","0.51","0.51","0.00","0.48","0.51","138,935.00","70,856.85"
"29/08/2025","CLYD","0.11","0.03","0.11","0.11","0.11","0.11","0.00","0.12","0.00","0.00","0.00"
"29/08/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"29/08/2025","CPC","0.03","0.02","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.00","0.00"
"29/08/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","0.00","0.00"
"29/08/2025","EGH","9.02","6.25","9.02","9.02","9.02","9.02","0.00","9.04","0.00","10.00","90.40"
"29/08/2025","EGL","2.90","1.98","2.90","2.90","2.90","2.90","0.00","2.90","0.00","1.00","2.90"
"29/08/2025","ETI","0.90","0.31","0.77","0.77","0.77","0.77","0.00","0.70","0.77","50,335.00","38,757.95"
"29/08/2025","FML","4.41","3.70","4.41","4.41","4.41","4.41","0.00","4.41","0.00","0.00","0.00"
"29/08/2025","GCB","10.01","6.37","10.01","10.01","10.01","10.01","0.00","10.02","0.00","138.00","1,388.28"
"29/08/2025","GGBL","6.05","5.50","6.05","6.05","6.05","6.05","0.00","5.46","6.05","78.00","471.90"
"29/08/2025","GOIL","2.31","1.52","2.28","2.28","2.31","2.31","0.03","2.30","0.00","2,050.00","4,733.00"
